time,r_p
0.0,10.012578094538876
0.007063794831158513,10.009697299683458
0.01039028489861651,10.005523651172634
0.01371677496607451,10.008617010697243
0.017590616769224986,10.02843324326566
0.021931510840879388,10.058959896533697
0.02566548691867383,10.118020177900638
0.02925397734763464,10.19586484272601
0.03177228977713918,10.224209148737733
0.03428632314994237,10.237591477732648
0.03943046722646569,10.247825697840526
0.044549530712117376,10.249466449882522
0.051680923596566834,10.246213898167461
0.061158343434031766,10.237211723817486
0.07429528592633489,10.22052013187315
0.0969463808268474,10.187026856536782
0.1538297131509687,10.095696355907734
0.20981678465266873,10.0025333867511
0.3135877255198257,9.83707489987741
0.45515562331724724,9.680472515779968
0.6388314030020008,9.760536447148244
0.8050027781518794,10.306802691290532
0.9687606570455793,11.427417346847097
1.19974960751328,14.059159998970044
1.5018961595223628,19.196107274311075
1.9723315085194881,30.346548417578123
2.624467783143549,51.13215060869553
3.284744372213576,77.93547995796655
3.890899243274041,107.48741995722759
4.6476363611480345,150.9696276961485
5.812376192418858,232.14272380590282
7.659508267540231,396.2235793412325
10.806821551767477,775.6096505279528
16.58832032317006,1800.2581114760153
27.725644055654538,4970.420238302572
50.26059002812448,16202.456320299583
99.57785300699429,63281.699639629216
219.7922107867068,307435.28906937235
606.7586947603335,2339436.772797712
2327.2066584432955,34393440.66442942
4370.955599357206,121314680.67373
6501.292841195589,268375691.35437104
8655.294380896048,475662376.3697212
10815.794748868871,742757080.0576416
12978.082237321538,1069418041.9525492
15140.861367909143,1455543384.753947
17303.77577086128,1901095309.2531273
19466.7273958696,2406060723.682241
21629.68926351415,2970435284.8389573
23792.653949791074,3594217593.703648
25000.0,3968242010.9091153
